"Titre & Domaine","Date Publi.","Date Accès","Notes"
"Coloring and Drawing APPs for Kids Market Analysis (DataInsightsMarket)","03-07-2024","10-11-2025","TAM $608M (2022), CAGR 10.2%, AI/AR trends"
"Coloring Apps Market Size 2032 (MarketReportsWorld)","N/A","10-11-2025","$75.32M (2024), CAGR 11.78%, growth forecast"
"GenAI Apps Revenue Report (Sensor Tower)","29-07-2025","10-11-2025","GenAI apps 1.7B downloads H1 2025, $1.87B IAP revenue"
"Coloring and Drawing APPs for Kids Strategic Insights (ArchiveMarketResearch)","19-05-2024","10-11-2025","TAM $1,106M (2033), CAGR 10%, regional breakdown"
"Global Coloring Apps Market Analysis 2035 (WiseGuyReports)","18-08-2025","10-11-2025","TAM $1,158.4M (2024) → $3,500M (2035), CAGR 10.6%"
"Generative AI in Media & Entertainment (Yahoo Finance)","18-06-2025","10-11-2025","GenAI media market $1.97B (2024) → $20.7B (2034), CAGR 26.15%"
"GenAI Stats (Master of Code)","29-07-2025","10-11-2025","GenAI market $356.10B CAGR 46.47%, US $302.31B (2034)"
"11 Best Free Coloring Apps 2025 (VisionVix)","16-09-2025","10-11-2025","Happy Color 100M+ downloads, 4.4/5 rating, app reviews"
"Coloring Games for Kids 2-6 Revenue Data (Adapty)","02-10-2024","10-11-2025","200K downloads, $300K revenue/mo, IAP pricing $1.99–$79.99"
"Coloring App Market Trends 2025 (Accio)","04-06-2025","10-11-2025","Happy Color 100M+ downloads, Colorfy 900K peak, revenue benchmarks"
"Android Drawing & Coloring Q2 2024 (Sensor Tower)","31-12-2024","10-11-2025","Colorfy 900K downloads, 2.94M WAU, $17K/week revenue"
"Ad Monetization in Kids Games (GameBiz Consulting)","31-12-2024","10-11-2025","Kids apps market $1.65B (2031), CAGR 26.71%, ad ethics"
"CPI Gaming Apps Worldwide (Statista)","16-06-2025","10-11-2025","Casual iOS CPI $1.41, Android $0.14 avg (Feb 2024–Feb 2025)"
"CPI by App Category (Mapendo)","16-11-2023","10-11-2025","Casual games CPI $3–$6, lower for education category"
"Cost Per Install Benchmarks (Appetiser)","09-10-2025","10-11-2025","Global avg CPI $2–3, gaming $3–$6, iOS premium vs Android"
"Coloring.app AI Launch PR (Newsfile/Yahoo Finance)","08-08-2025","10-11-2025","Coloring.app AI launched, 7K beta users, 15K pages, 500 books"
"ColoringBook AI Review (YouTube)","25-08-2025","10-11-2025","AI coloring generators comparison, quality benchmarks"
"Data Privacy for Kids Apps (Countly)","06-10-2025","10-11-2025","COPPA, GDPR-K, LGPD compliance requirements"
"Children's Privacy Laws 2025 (JD Supra)","17-09-2025","10-11-2025","Age verification, new state laws (Texas SCOPE, NY CDPA effective 2025)"
"COPPA Compliance Guide (LegalNodes)","24-08-2025","10-11-2025","Parental consent, privacy notices, data protection AI apps"
"Generative AI Child Safety (eSafety.gov.au)","10-06-2025","10-11-2025","AI-generated CSAM risks (1,325% increase), safeguards needed"
"Kids Data Protection Regulations (Cyprus Legal)","28-10-2024","10-11-2025","App Store/Google Play kids category requirements, age-appropriate content"
