"Titre & Domaine","Date Publi.","Date Accès","Notes"
"Parent Monitoring Apps Market Research (DataIntelo)","29-09-2025","10-11-2025","TAM $1.98B (2024) → $5.44B (2033), CAGR 11.4%"
"Family Tracking App Market (MarketGrowthReports)","31-10-2024","10-11-2025","TAM $492.33M (2024) → $3.93B (2033), CAGR 23.7%"
"Family Tracking App Market (BusinessResearchInsights)","19-10-2025","10-11-2025","TAM $0.608B (2024) → $4.565B (2033), CAGR 27.3%"
"Parental Control Software Market (FutureMarketInsights)","15-06-2025","10-11-2025","$1.7B (2025) → $4.2B (2035), CAGR 9.8%, mobile 61% share"
"Parental Control Monitoring (DataInsightsMarket)","03-07-2024","10-11-2025","TAM $2.5B est., CAGR 15%, Bark/Qustodio/Net Nanny leaders"
"COPPA Health Data – Kurbo FTC Settlement (FTC.gov)","19-03-2025","10-11-2025","$1.5M Kurbo fine, age gate enforcement, parental notice requirements"
"Life360 Alternatives 2025 (Impulsec)","15-10-2025","10-11-2025","Top 10 alternatives, mSpy, GeoZilla, Family Locator comparison"
"Qustodio vs Net Nanny (Qustodio)","29-07-2024","10-11-2025","Feature comparison, Qustodio activity reports, SMS monitoring advantage"
"Bark Price 2025 (AllAboutCookies)","27-08-2025","10-11-2025","Bark $5/mo Jr + $14/mo Premium, unlimited devices, hardware expansion"
"Google Family Link Review (YouTube)","28-02-2024","10-11-2025","Google Family Link 100M+ downloads, Android focus, Chrome limitation"
"Family Tracking App Market (Market.us)","23-09-2024","10-11-2025","TAM $1.927B (2033) from $356M (2023), CAGR 18.4%, wearable integration growth"
"Child Growth Tracker (Childgrowthtracker.com)","2022-ongoing","10-11-2025","WHO/CDC growth charts, cloud sync, preterm curves, indie developer model"
"Child Growth & BMI (Google Play)","06-11-2025","10-11-2025","10K+ downloads, WHO growth charts, health tracking native app"
"HIPAA Privacy Rule for Minors (CompliancyGroup)","14-07-2025","10-11-2025","HIPAA parental access rights, state law variations (Idaho, etc.)"
"KidSecurity Data Breach (DLRLawFirm)","23-02-2024","10-11-2025","Data breach example, COPPA implications, security risks to children's apps"
"Parental Monitoring Laws 2026 (PhoneTracker247)","02-11-2025","10-11-2025","Global legal overview, consent + awareness requirement, penalties millions"
"CPI Gaming Apps (Statista)","16-06-2025","10-11-2025","CPI iOS $1.41 casual, Android $0.14; health category lower than gaming"
"Cost Per Install Categories (Mapendo)","16-11-2023","10-11-2025","CPI benchmarks, shopping/health categories lower than games"
"Best ASO Practices 2024-2025 (SplitMetrics)","21-10-2024","10-11-2025","Keyword discovery, localization, engagement ROI, Apple Search Ads synergy"
"How to Monetize Health Fitness Apps 2025 (RipenApps)","23-06-2025","10-11-2025","Subscription models, personalization, trial-to-paid, $3.98B fitness market (2024)"
