"Titre & Domaine","Date Publi.","Date Accès","Notes"
"AI-Powered Face Generator Market (Market.us)","07-07-2024","10-11-2025","TAM $84.5B (2033), CAGR 6.5%"
"AI Face Generators Market (MarketResearchIntellect)","22-12-2024","10-11-2025","$500M (2024) → $3.6B (2031), CAGR 28%"
"AI Face Swap Software Market (VerifiedMarketReports)","15-04-2025","10-11-2025","$300M (2024) → $1.5B (2033), CAGR 20%"
"AI Face Swap Software Market Growth (MarketGrowthReports)","31-10-2024","10-11-2025","250M downloads 2024, $109.52M market (2024), CAGR 4.3%"
"LinkedIn AI Face Swap Market (LinkedIn)","20-09-2025","10-11-2025","CAGR >25% (2024–2029), special effects demand growing"
"Baby Product Market (LinkedIn)","05-11-2025","10-11-2025","$48.7B (2024) → $69B (2031), CAGR 4.47%"
"AI Baby Monitors Market (Skywork.ai)","09-07-2025","10-11-2025","$1.4B (2024) → $5.2B (2033), indicates AI family integration trend"
"Reface App Revenue & Case Study (Vungle)","05-12-2021","10-11-2025","Reface 7% revenue boost with ads, subscription + ad hybrid model"
"Reface Business Model (Canvas Business Model)","11-07-2025","10-11-2025","Reface 30% revenue growth 2024, $12.99–$29.99/mo pricing, freemium model"
"Reface Retention Gains (Reteno)","23-03-2025","10-11-2025","Reface premium = unlimited baby generator, ads removed, features exclusive"
"Best AI Baby Generators Guide (Skywork.ai)","16-10-2025","10-11-2025","MaxStudio, AI Baby Generator, BabyFace AI comparison ; features/pricing/privacy"
"AI Baby Generator Pricing Comparison (Skywork.ai)","16-10-2025","10-11-2025","Basic $8.99, Premium $16.99, Deluxe $26.99 typical pricing ; one-time vs. subscription"
"State of Subscription Apps 2025 (RevenueCat)","19-03-2025","10-11-2025","Hard paywall 8x higher revenue than freemium ; hybrid monetization (sub + consumables) best"
"Cost Per Install 2025 Trends (Mapendo)","25-02-2025","10-11-2025","Entertainment CPI $1.10, gaming $3.90, iOS $4.70, Android $3.40 average"
"Mobile AI Apps Market Size (Backlinko)","26-08-2025","10-11-2025","AI apps market $2B, growing rapidly, ChatGPT/Remini leading"
"COPPA Rule Updates June 2025 (Finnegan)","24-07-2025","10-11-2025","Facial recognition = ""biometric identifier"" under new COPPA ; separate parental consent required"
"Deepfake Laws Denmark 2025 (FrozenLight.ai)","06-07-2025","10-11-2025","Denmark copyright law = face ownership rights ; worldwide first; creates IP liability for deepfakes"
"Biometric Privacy Code NZ (RussellMcVeagh)","10-08-2025","10-11-2025","NZ Biometric Processing Privacy Code (Nov 3 2025) = 13 rules for automated facial processing"
"Deepfake Legal Challenges (HSF Kramer, Australia)","05-06-2024","10-11-2025","Australia/US: No IP rights in face ; deepfakes not protected by copyright unless derived from copyrighted work"
"EU AI Act Face Recognition Restrictions (PrivacyInternational)","30-09-2025","10-11-2025","High-risk AI systems (face ID) banned for social scoring; law enforcement requires judicial approval"
